window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
19,tvtp_both,2018-10-27,2022-10-26,2023-01-24,2873.6155850934383,-5727.231170186877,-5674.369253039853,10,True,0.0014110324430580323,0.017589729674888283,-0.00018678624358066308,0.05829894648991019,0.44757281688047146,-0.833698497717442,-0.7105790317289867,1.2711343655931338,59.172315038165834,4.329322809708676e-12,-0.24629424267667835,-0.022115876292650802
20,baseline,2019-01-26,2023-01-25,2023-04-25,2887.557312762454,-5763.114625524908,-5731.397475236693,6,True,0.0015345649011126344,0.019564197209843332,0.0006650400111697839,0.06224888695240739,1.3391641149150229,0.14634156430801828,,,,,,
20,tvtp_logrv,2019-01-26,2023-01-25,2023-04-25,2908.9994058647253,-5801.998811729451,-5759.709278011832,8,True,0.001559228166652348,0.01836949111304119,0.0007049867141900988,0.060110088809037815,0.777538394891237,-0.7939484186467102,-0.6370629656822251,0.9711535111409173,42.88418620454286,4.873234220563438e-10,,
20,tvtp_exflow,2019-01-26,2023-01-25,2023-04-25,2888.347088840849,-5760.694177681698,-5718.40464396408,8,True,0.0014954084631933382,0.019688851788672985,0.0007517379286020885,0.06241174698327644,1.3642504264917512,0.16624965516590354,-0.2467074049259944,-0.020977683328108513,1.579552156790669,0.45394643231612386,,
20,tvtp_both,2019-01-26,2023-01-25,2023-04-25,2909.9883286393156,-5799.976657278631,-5747.1147401316075,10,True,0.0015055190303958634,0.018309108289536746,0.0008148965054518773,0.05986207121233719,0.7607058463259971,-0.7835574189173113,-0.6226561078018789,1.0255511338948713,44.862031753723386,4.247415029843991e-09,-0.2685583781963347,-0.11100584745575025
21,baseline,2019-04-27,2023-04-26,2023-07-25,2870.32791435367,-5728.65582870734,-5696.938678419126,6,True,0.0012571788819169655,0.020897312989890032,0.0009419607372432086,0.06341644785890142,1.4766636612346606,0.15334294053768685,,,,,,
21,tvtp_logrv,2019-04-27,2023-04-26,2023-07-25,2890.3460436307655,-5764.692087261531,-5722.402553543912,8,True,0.0013126696694254014,0.020021383191505485,0.0008427042449406169,0.061846640060067,0.9578170045733582,-1.027263793058879,-0.5950386891186596,1.1302891094797336,40.03625855419068,2.0241230799960344e-09,,
21,tvtp_exflow,2019-04-27,2023-04-26,2023-07-25,2870.628679494078,-5725.257358988156,-5682.967825270537,8,True,0.001240399461766101,0.02096501393133758,0.0009814452269570025,0.063522878129821,1.4890015239103418,0.16744888382679649,-0.1382880431111931,-0.023641230322834373,0.6015302808154956,0.7402516075232333,,
21,tvtp_both,2019-04-27,2023-04-26,2023-07-25,2890.740879028914,-5761.481758057828,-5708.619840910805,10,True,0.001285685646090341,0.02003986717305749,0.0009021062305237014,0.06186620519493045,0.9600584427773271,-1.0234301412940745,-0.581652379717771,1.160180681756637,40.82592935048797,2.9203767538367825e-08,-0.13029260963320413,-0.11273592393045785
22,baseline,2019-07-27,2023-07-26,2023-10-24,2954.8266412404582,-5897.6532824809165,-5865.936132192702,6,True,0.000688373514550327,0.019489264193404552,0.0008897892389387066,0.06061516322335658,1.37878918593294,-0.015037338247550538,,,,,,
